Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City
B-25681,1096,658,7,Electronics,Electronic Games,COD,2018-06-04,Bhawna,Madhya Pradesh,Indore
B-26055,5729,64,14,Furniture,Chairs,EMI,2018-03-10,Harivansh,Uttar Pradesh,Mathura
B-25955,2927,146,8,Furniture,Bookcases,EMI,2018-01-16,Shiva,Maharashtra,Pune
B-26093,2847,712,8,Electronics,Printers,Credit Card,2018-03-27,Sarita,Maharashtra,Pune
B-25602,2617,1151,4,Electronics,Phones,Credit Card,2018-04-01,Vrinda,Maharashtra,Pune
B-25881,2244,247,4,Clothing,Trousers,Credit Card,2018-11-25,Lalita,Uttar Pradesh,Mathura
B-25696,275,-275,4,Clothing,Saree,COD,2018-06-21,Noopur,Karnataka,Bangalore
B-25687,387,-213,5,Clothing,Saree,UPI,2018-06-11,Sanjna,Maharashtra,Mumbai
B-25643,50,-44,2,Clothing,Hankerchief,UPI,2018-04-29,Kirti,Jammu and Kashmir,Kashmir
B-25851,135,-54,5,Clothing,Kurti,COD,2018-11-06,Kushal,Nagaland,Kohima
B-25703,231,-190,9,Clothing,Hankerchief,COD,2018-06-28,Ekta,Madhya Pradesh,Indore
B-25887,2125,-234,6,Electronics,Printers,EMI,2018-12-01,Vishakha,Uttar Pradesh,Prayagraj
B-25923,3873,-891,6,Electronics,Phones,Credit Card,2018-12-27,Gopal,Maharashtra,Mumbai
B-25756,729,-492,5,Furniture,Bookcases,UPI,2018-08-20,Mohan,Maharashtra,Mumbai
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,2018-08-25,Madhav,Uttar Pradesh,Mathura
B-25655,6,-3,1,Clothing,Hankerchief,UPI,2018-05-11,Nida,Madhya Pradesh,Indore
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,2018-09-19,Madan Mohan,Uttar Pradesh,Mathura
B-26095,6,1,1,Clothing,Kurti,UPI,2018-03-28,Monisha,Rajasthan,Jaipur
B-25853,2093,721,5,Furniture,Chairs,Credit Card,2018-11-08,Gaurav,Gujarat,Ahmedabad
B-25735,7,-1,2,Clothing,Skirt,UPI,2018-07-30,Arindam,Uttar Pradesh,Lucknow
B-25910,1622,-624,5,Furniture,Tables,Credit Card,2018-12-14,Jay,Delhi,Delhi
B-25950,1622,95,5,Electronics,Printers,Credit Card,2018-01-13,Shruti,Madhya Pradesh,Indore
B-25744,373,254,6,Electronics,Printers,UPI,2018-08-08,Devendra,Andhra Pradesh,Hyderabad
B-25845,82,-33,4,Clothing,Kurti,COD,2018-11-03,Snel,Kerala ,Thiruvananthapuram
B-26001,8,2,2,Clothing,Skirt,UPI,2018-02-07,Patil,Delhi,Delhi
B-25830,1954,782,3,Electronics,Phones,Credit Card,2018-10-26,Aastha,Himachal Pradesh,Simla
B-25842,1543,370,8,Electronics,Printers,Credit Card,2018-11-02,Sheetal,Maharashtra,Pune
B-25778,1506,-266,6,Electronics,Printers,Credit Card,2018-09-11,Surabhi,Maharashtra,Mumbai
B-25686,1829,-56,6,Furniture,Tables,Credit Card,2018-06-11,Pooja,Himachal Pradesh,Simla
B-25754,9,-1,3,Clothing,Skirt,UPI,2018-08-18,Akshay,Bihar,Patna
B-26048,1461,202,5,Furniture,Tables,EMI,2018-03-04,Parth,Maharashtra,Pune
B-25816,391,113,8,Clothing,Stole,COD,2018-10-12,Mane,Andhra Pradesh,Hyderabad
B-26022,1824,1303,8,Electronics,Phones,Credit Card,2018-02-18,Shrichand,Punjab,Chandigarh
B-25883,16,-15,4,Clothing,Hankerchief,UPI,2018-11-27,Saptadeep,Gujarat,Surat
B-26003,1745,122,2,Furniture,Tables,Credit Card,2018-02-08,Hitesh,Madhya Pradesh,Bhopal
B-26097,663,-212,5,Electronics,Printers,UPI,2018-03-28,Vini,Karnataka,Bangalore
B-25710,10,-1,1,Clothing,Leggings,UPI,2018-07-05,Megha,Maharashtra,Pune
B-25797,1630,802,5,Furniture,Tables,EMI,2018-09-30,Sauptik,Madhya Pradesh,Indore
B-25618,12,0,2,Clothing,Hankerchief,UPI,2018-04-18,Manju,Andhra Pradesh,Hyderabad
B-25723,12,-7,2,Clothing,Leggings,UPI,2018-07-18,Wale,Maharashtra,Mumbai
B-25755,1709,564,3,Clothing,Trousers,Credit Card,2018-08-19,Shourya,Kerala ,Thiruvananthapuram
B-25788,12,3,1,Clothing,Stole,UPI,2018-09-21,Dinesh,Tamil Nadu,Chennai
B-25681,1625,-77,3,Electronics,Phones,EMI,2018-06-04,Bhawna,Madhya Pradesh,Indore
B-25991,13,5,2,Clothing,Hankerchief,UPI,2018-02-03,Mansi,Madhya Pradesh,Indore
B-25779,1361,980,3,Furniture,Tables,COD,2018-09-12,Savi,Maharashtra,Pune
B-25909,1622,-448,3,Electronics,Phones,EMI,2018-12-13,Sujay,Maharashtra,Pune
B-25943,1547,340,6,Electronics,Accessories,EMI,2018-01-09,Shardul,Gujarat,Ahmedabad
B-25935,1657,460,4,Furniture,Chairs,Credit Card,2018-01-04,Sudhir,Nagaland,Kohima
B-25613,1603,0,9,Clothing,Saree,Credit Card,2018-04-12,Mohan,Haryana,Chandigarh
B-25729,1549,-439,4,Electronics,Phones,Credit Card,2018-07-22,Madhulika,Madhya Pradesh,Bhopal
B-25772,1183,106,4,Electronics,Printers,EMI,2018-09-02,Sanjana,Bihar,Patna
B-25655,74,-123,8,Clothing,Skirt,UPI,2018-05-11,Nida,Madhya Pradesh,Indore
B-25640,1499,239,13,Clothing,Saree,Credit Card,2018-04-27,Paridhi,Rajasthan,Jaipur
B-25810,1120,199,6,Clothing,Saree,EMI,2018-10-10,Nripraj,Punjab,Chandigarh
B-25801,15,-2,1,Clothing,T-shirt,Debit Card,2018-10-01,Aryan,Madhya Pradesh,Bhopal
B-26085,1487,624,3,Clothing,Trousers,Credit Card,2018-03-26,Shrichand,Punjab,Chandigarh
B-25868,1118,206,2,Furniture,Tables,Credit Card,2018-11-18,Vikash,Goa,Goa
B-25714,11,-5,2,Clothing,Hankerchief,COD,2018-07-09,Stuti,Karnataka,Bangalore
B-25784,15,4,1,Clothing,Hankerchief,Debit Card,2018-09-15,Rohit,Rajasthan,Jaipur
B-25608,1364,1864,5,Furniture,Tables,Credit Card,2018-04-08,Aarushi,Tamil Nadu,Chennai
B-26051,1337,147,7,Electronics,Printers,Credit Card,2018-03-07,Parishi,West Bengal,Kolkata
B-25900,15,2,1,Clothing,Leggings,Debit Card,2018-12-09,Anand,Punjab,Amritsar
B-25760,322,-193,5,Electronics,Printers,UPI,2018-08-24,Pooja,Goa,Goa
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card,2018-08-26,Anudeep,Madhya Pradesh,Indore
B-25995,1314,342,3,Furniture,Bookcases,Credit Card,2018-02-04,Yohann,Delhi,Delhi
B-25965,17,7,3,Clothing,Hankerchief,Debit Card,2018-01-21,Saloni,West Bengal,Kolkata
B-25967,17,2,2,Clothing,Skirt,Debit Card,2018-01-21,Sudevi,Uttar Pradesh,Prayagraj
B-25674,17,-12,5,Clothing,Skirt,Debit Card,2018-05-28,Mahima,Maharashtra,Pune
B-25929,1308,536,3,Furniture,Bookcases,Credit Card,2018-01-02,Girase,Kerala ,Thiruvananthapuram
B-25777,1076,-38,4,Electronics,Printers,Credit Card,2018-09-10,Aditi,Madhya Pradesh,Indore
B-26006,1301,573,5,Electronics,Accessories,Credit Card,2018-02-09,Arpita,Karnataka,Bangalore
B-25697,1300,-16,8,Electronics,Printers,Credit Card,2018-06-22,Vijay,Jammu and Kashmir,Kashmir
B-25667,11,-2,4,Clothing,Hankerchief,COD,2018-05-23,Anjali,Haryana,Chandigarh
B-25836,1298,65,9,Electronics,Printers,EMI,2018-10-29,Arti,Maharashtra,Pune
B-25984,304,97,6,Clothing,Stole,UPI,2018-01-30,Kajal,Delhi,Delhi
B-25728,1055,264,4,Electronics,Printers,EMI,2018-07-22,Ameesha,Maharashtra,Pune
B-25757,17,-13,4,Clothing,Skirt,Debit Card,2018-08-21,Vishakha,Madhya Pradesh,Indore
